Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Ungraded Males Total""""","Primary Ungraded Females Total""""","Primary Ungraded Total""""","Primary Total""""","Year 7 Males Total""""","Year 7 Females Total""""","Year 7 Total""""","Year 8 Males Total""""","Year 8 Females Total""""","Year 8 Total""""","Year 9 Males Total""""","Year 9 Females Total""""","Year 9 Total""""","Year 10 Males Total""""","Year 10 Females Total""""","Year 10 Total""""","Year 11 Males Total""""","Year 11 Females Total""""","Year 11 Total""""","Year 12 Males""""","Year 12 Females""""","Year 12 Total""""","Secondary Ungraded Males Total""""","Secondary Ungraded Females Total""""","Secondary Ungraded Total""""","Secondary Total""""","Grand Total"""""
Government,1,8223,Pakenham Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,60,117,109,81,190,87,80,167,83.9,88,171.9,63.9,53.8,117.7,29.9,59.3,89.2,0,0,0,852.8,852.8
Government,1,8225,Parkdale Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,116,278,145,108,253,155,92,247,129,98,227,134,97,231,110,90.6,200.6,0,0,0,1436.6,1436.6
Government,1,8227,Pascoe Vale Girls Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,187,0,219,219,0,192,192,0,183,183,0,194,194,0,209,209,0,0,0,1184,1184
Government,1,8245,Princes Hill Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,56,130,80,71,151,90,60,150,84,68,152,84.9,73,157.9,61.6,66,127.6,0,0,0,868.5,868.5
Government,1,8250,Bellarine Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,85,201,118,78,196,102,65,167,113.9,64.7,178.6,94.8,79.1,173.9,76.7,72.5,149.2,0,0,0,1065.7,1065.7
Government,1,8256,Rainbow P-12 College (interim name),Pri/Sec,O,6,3,9,5,2,7,7,5,12,5,3,8,5,5,10,3,3,6,4,5,9,0,0,0,61,11,2,13,7,3,10,1,6,7,4,9,13,1,8,9,2,6,8,0,0,0,60,121
Government,1,8260,Red Cliffs Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,75,148,50,50.4,100.4,67,76,143,55,78,133,42,39.9,81.9,35,43.6,78.6,29,23,52,736.9,736.9
Government,1,8270,Ringwood Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,147,257,134,128,262,100,143,243,118,147,265,112.5,124.8,237.3,95.9,129.2,225.1,0,0,0,1489.4,1489.4
Government,1,8280,Rochester Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,40,67,32,35,67,39,43,82,40,39,79,35,29,64,28,29.8,57.8,0,0,0,416.8,416.8
Government,1,8290,Rosebud Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,96,195,90,89,179,104,119,223,109,104,213,111.6,107,218.6,70.9,93.2,164.1,0,0,0,1192.7,1192.7
Government,1,8300,Rutherglen High School,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,22,43.2,34,23,57,18,23,41,32,28,60,17.9,21.8,39.7,19.8,21.6,41.4,0,0,0,282.3,282.3
Government,1,8307,Scoresby Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,41,28,11,39,27,27,54,28,27,55,45.4,43.8,89.2,34.8,22.6,57.4,0,0,0,335.6,335.6
Government,1,8320,Shepparton High School,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,31,71,56,50,106,72,72,144,55.2,63.8,119,74.6,88.4,163,33.2,63.5,96.7,0,0,0,699.7,699.7
Government,1,8330,St Albans Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,99,216,111,99,210,112,101,213,111,125,236,92,89,181,71,83,154,0,0,0,1210,1210
Government,1,8335,St Arnaud Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,34,26,10,36,18,27,45,20,21,41,13,15,28,15.9,13.4,29.3,0,0,0,213.3,213.3
Government,1,8337,Oakwood School,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,21.6,14,35.6,37,27,64,57,66.4,123.4,78.5,64.3,142.8,36.2,44.8,81,0,0,0,451.8,451.8
Government,1,8345,Strathmore Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,102,274,152,131,283,144,112,256,140,117,257,143.9,125,268.9,139.9,113,252.9,0,0,0,1591.8,1591.8
Government,1,8350,Sunbury College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,81,171,94,73,167,88,76,164,79,93.5,172.5,71,94.6,165.6,64.7,80,144.7,0,0,0,984.8,984.8
Government,1,8368,Sydney Road Community School,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,7,0,7,7,4,11,13,14,27,12,9,21,10,7,17,0,0,0,89,89
Government,1,8370,Tallangatta Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,59,104,40,40,80,41,31,72,43.3,31,74.3,31.8,29.8,61.6,22.4,32.2,54.6,0,0,0,446.5,446.5
Government,1,8383,Thomastown Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,44,93,61,46,107,57,52,109,48,42,90,47,50,97,50.7,39.8,90.5,0,0,0,586.5,586.5
Government,1,8395,Trafalgar High School,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,65,105,45.4,58,103.4,52,48,100,54,44,98,48.8,41,89.8,29.6,36,65.6,0,0,0,561.8,561.8
